ID,study_title,hypothesis_statement,effect_of_interest,statistical_result,df_t,t_statistic,p_value_t,es,ci_es,df1_f,df2_f,f_statistic,p_value_f,es_f,ci_f,preregistration,raw_data,access_raw_data,Any_stats?,p-values?,test_stats?,Df?,ES?,CI_ES?,,Colour Legend,
65,Runners with mid-portion Achilles tendinopathy have greater triceps surae intracortical inhibition than healthy controls,"We hypothesized that runners with chronic mid-portion AT would present with greater levels of cortical inhibition in the triceps surae and lower plantar flexor isometric peak torque, RTD, and number of SLHR than controls.",main effect,"Triceps surae SICI was 14.3% (95%CI: -2.1 to 26.4; F=5.271, p=0.032, η2p=0.201) higher in AT than in controls (57.9%, 95%CI: 36.2 to 79.6; and 43.6%, 95%CI:16.2 to 71.1)",,,,,,1,22,5.271,p = 0.032,standardised,no,no,no,,Yes,Yes,Yes,No,standardised,No,,,
66,Effects of 16 weeks of pyramidal and polarized training intensity distributions in well-trained endurance runners,"Our hypothesis was that, consistent with the training cycles typically used by elite endurance athletes,7 switching from pyramidal to polarized TID in the final phase of a training period would result in higher performance improvements compared to maintaining the same distribution (pyramidal or polarized) or switching from polarized to pyramidal TID.",interaction effect,"an interaction group × time (F(6, 112) = 5.2; p = 0.0001;  2 p = 0.22) for the time trial performance",,,,,,6,112,5.2,p = 0.0001,standardised,no,no,no,,Yes,Yes,Yes,Yes,standardised,No,,,
67,"No thermoregulatory or ergogenic effect of dietary nitrate among physically inactive males, exercising above gas exchange threshold in hot and dry conditions","We hypothesised that the dry, hot conditions, coupled with the higher exercise intensity, would reveal the beneficial effects of NO3- supplementation on evaporative cooling, dry heat losses and metabolic cost of untrained participants.",interaction effect,"Tskin increased with time (F(9,90) = 7.179, P < 0.001), without condition effects (F(1,10) = 0.796, P = 0.096) or an interaction with time (F(9,90) = 0.122, P = 0.099) (Figure 1B).",,,,,,9,90,0.122,p = 0.099,not reported,no,no,no,,Yes,Yes,Yes,Yes,No,No,,,
68,Effect of glucose and sodium chloride mouth rinses on neuromuscular fatigue: a preliminary study,In this study it was hypothesised that both glucose and NaCl would improve MVC post cycling as compared to water.,interaction effect,"For MVC, two-way ANOVA showed a significant interaction effect (F2, 27 = 7.412, p = 0.0027)",,,,,,2,27,7.412,p = 0.0027,standardised,no,no,no,,Yes,Yes,Yes,Yes,standardised,No,,,
69,High rates of fat oxidation are maintained after the sleep low approach despite delayed carbohydrate feeding during exercise,"We hypothesised that carbohydrate feeding commenced 30 minutes after the start exercise would not alter the metabolic environment (e.g. substrate utilisation, plasma NEFA) thought to be critical for training adaptations during exercise performed after the sleep low strategy.",difference of means,there was no difference between PLA and DELAY for carbohydrate oxudation p = 0.87,,,p = 0.87,not reported,not reported,,,,,,,no,no,,Yes,Yes,No,No,No,No,,,
70,Effects of whole body vibration training combined with blood flow restriction on muscle adaptation,We hypothesized that exposure to WBV + BFR would increase both acute response and the effect of regular muscle training to a greater extent than exposure to WBV alone.,main effect,"Results ANCOVA in Table 1. Mean difference = 2.88, p < 0.05",,,,,,,,,p < 0.05,unstandardised,no,no,no,,Yes,Yes,No,No,unstandardised,No,,,
71,Acute citrulline-malate supplementation is ineffective during aerobic cycling and subsequent anaerobic performance in recreationally active males,we hypothesized CM supplementation would augment total work completed (TWC) total time to complete the Time-To-Exhaustion (TTE) test.,difference of means,no difference in total work (p = 0.86; PLA: 74.7 ± 34.1; CM: 74.1 ± 26.4) between supplement trials,,,p = 0.86,not reported,not reported,,,,,,,no,no,,Yes,Yes,No,No,No,No,,,
72,"Understanding the underlying mechanisms of Quiet Eye: the role of microsaccades, small saccades and pupil-size before final movement initiation in a soccer penalty kick","we can hypothesize from these elements that athletes, just before final movement initiation, maintain a steady fixation on the visual pivot to predict the outcome of a sporting action, shifting their attention, with microsaccades or small saccades, toward the side where they predict that the opponent will kick the ball",unclear,unclear,,,,,,Y,Y,Y,Y,standardised,no,no,no,,Yes,Yes,Yes,Yes,standardised,No,,,
73,Effects of Wearing a Full Body Compression Garment During Recovery from an Ultra-Trail Race,"We hypothesized that, in this extreme context, the FBCG would have an ergogenic effect on muscle damage, inflammatory response and DOMS.",difference of means,No ‘Intervention x Time’ interaction effects were revealed for the analytical variables (see Table 2) and Student's t-tests also presented no differences between FBCG and CG.,,,p = 0.46,standardised,not reported,,,,,,,no,no,,Yes,Yes,No,No,standardised,No,,,
74,Blackcurrant extract does not affect the speed–duration relationship during high-intensity running,The hypothesis was that BC supplementation would right-shift the S–Dtol in the severe exercise domain and thereby increase CS and D’; i.e. allow for longer-duration exercise at the same speed and/or allow for higher sustainable speed for the same duration of severe-intensity exercise.,difference of means,"Supplementation with BC did not change CS (placebo 12.1 ± 1.0 km/h vs BC 11.9 ± 1.0 km/h, p > .05)",,,p > 0.05,not reported,not reported,,,,,,,no,no,,Yes,Yes,No,No,No,No,,,
75,Weekly Vitamin D3 Supplementation Improves Aerobic Performance in Combat Sport Athletes,it is hypothesised that a larger dose of vitamin D will evoke greater aerobic performance benefits.,interaction effect,There was no significant group x time effect for LB (P=0.292; Table 1),,,,,,,,,p = 0.292,not reported,no,no,no,,Yes,Yes,No,No,No,No,,,
76,Bilateral deficit in strength but not rapid force during maximal handgrip contractions,"We hypothesized that our dependent variables would show a bilateral deficit, yet males would show a greater deficit compared to females.",difference of means,"There were no significant differences between sex for the bilateral index of MVC (p = 0.750, d = 0.114, 95% CI = -5.61, 7.69;p=0.885,d=0.051,95%CI=-5.04,5.81) for the left or right hands, respectively.",,,p = 0.750,standardised,"yes, only for the unstandardised",,,,,,,no,no,,Yes,Yes,No,No,standardised,"yes, only for the unstandardised",,,
77,Resistance training-induced improvement in exercise tolerance is not dependent on muscle mass gain in post-menopausal women,"it would seem reasonable to assume that if W′ is influenced by muscle mass, additional muscle mass gain with a HV-RT leads to additional Wʹ gains when compared to a lower-volume resistance training (LV-RT).",difference of means,"When the magnitude of increase in the W ́ (Δ = delta values adjusted by pre-values) were compared between the groups [ANCOVA: F (2.36) = 7.633; p = 0.002; ƞ2 = 0.30; OP= 0.93], the post-hoc revealed that both groups of training increased Wʹ (P < 0.05), however without differences (P = 0.163) between the LV-RT and HV-RT.",,,p = 0.163,not reported,not reported,,,,,,,no,no,,Yes,Yes,No,No,No,No,,,
78,"Montmorency tart cherry juice does not reduce markers of muscle soreness, function and inflammation following professional male Rugby League match-play.","We hypothesised that rugby match-play would increase markers of inflammation, increase muscle soreness and decrease markers of muscle function whilst ingestion of MC would have no beneficial effect on markers of recovery compared with a placebo.",difference of means,"Similarly, there was a decrease in PLB (2.16±0.34 m.s-1) and MC (2.17±0.33 m.s-1) drop jump performance from 24h pre-match to 48h post-match (PLB: 2.05±0.40 m.s-1 and MC: 2.06±0.41 m.s-1) although this was not statistically significant (P=0.228 and P=0.893, respectively).",,,p = 0.228,not reported,not reported,,,,,,,no,no,,Yes,Yes,No,No,No,No,,,
79,The intraocular pressure response to lower-body and upper-body isometric exercises is affected by the breathing pattern,we hypothesized that (i) greater IOP values would be observed when performing the Valsalva maneuver compared to the use of a constant breathing as it has been reported for dynamic resistance training,difference of means,"Post-hoc analyses showed that there were greater IOP values during the 25-sec Valsalva condition in comparison to the constant (corrected P-value < 0.001, d = 1.24)",,,p < 0.001,standardised,not reported,,,,,,,no,no,,Yes,Yes,No,No,standardised,No,,,
80,Effect of ambient temperature on fat oxidation during an incremental cycling exercise test,"We hypothesised that the fat oxidation-exercise intensity curve would be shifted downwards in the heat when compared to a temperate environment, producing notable reductions in MFO and in Fatmax.",main effect,"There was a main effect of the environment on fat oxidation rate (F = 9.35, P = 0.014)",,,,,,1,11,9.35,p = 0.014,not reported,no,no,no,,Yes,Yes,Yes,No,No,No,,,
81,What do you hear? The effect of stadium noise on football players’ passing performances,"Highly skilled sub-elite level football players’ passing performance scores and times (i.e., passing accuracy and passing time) will significantly decrease under stadium noise conditions compared to playing under a ‘baseline’ condition.",main effect,"The MANOVA revealed no significant main effect of passing accuracy score (H1), F(3,43) = .322, p = .809,",,,,,,3,43,0.322,p = 0.809,not reported,no,no,no,,Yes,Yes,Yes,Yes,No,No,,,
82,Effect of shoe cushioning on landing impact forces and spatiotemporal parameters during running: results from a randomized trial including 800+ recreational runners,we hypothesized that VIPF and VILR would be lower in participants using the Soft shoe version.,difference of means,"A significantly higher VIPF (95% CI: 0.07 to 0.13 BW; 6.9%) was observed in the Soft shoe group compared to the Hard shoe group, and the effect size was medium (Figure 2A). Mean difference, ES d and p-value reported in Table 2",,,p < 0.001,both types are reported,"yes, only for the unstandardised",,,,,,,clinical trial,no,,Yes,Yes,No,No,Both,"yes, only for the unstandardised",,,
83,"p-Synephrine, the main protoalkaloid of Citrus aurantium, raises fat oxidation during exercise in elite cyclists","We hypothesised that acute p-synephrine ingestion would enhance fat oxidation during a graded exercise protocol, particularly at low-to-moderate exercise intensities, with no effect on energy expenditure.",main effect,"there was a main effect of p-synephrine to increase the rate of fat oxidation over the placebo (F=5.1, P=0.04)",,,,,,1,14,5.1,p = 0.04,not reported,no,no,no,,Yes,Yes,Yes,No,No,No,,,
84,"Music attenuates a widened central pulse pressure caused by resistance exercise: a randomized, single-blinded, sham-controlled, crossover study","the working hypothesis was that classical music would restrain high-intensity resistance exercise-induced elevations of central systolic pressure and PP, but not diastolic pressure",unclear,unclear,,,,,,Y,Y,Y,Y,not reported,no,no,no,,Yes,Yes,Yes,No,No,No,,,
85,"Acute effects of caffeine supplementation on resistance exercise, jumping, and Wingate performance: no influence of habitual caffeine intake",We hypothesized that individuals with low habitual caffeine intake would experience greater improvements in exercise performance following caffeine ingestion compared to those with high habitual caffeine intake.,interaction effect,We did not find significant group × condition interaction effect (p>0.05) in any of the analyzed outcomes.,,,,,,,,,p > 0.05,not reported,no,no,no,,Yes,Yes,No,No,No,No,,,
